dataset_name,attribute_name,error_mechanic,error_type_table,error_rate,data_file,n_fds,gpdep_mean,partial_value_mean,fd_hold_pct,fd_hold_weighted,fd_violated_pct,qw_bin,cordts_pipino,heinrich_product_exact,hinrichs_exact
hospital,Address1,EAR,Extraneous,0.0,hospital__Address1__EAR__Extraneous__r0.csv,143,0.29642339112539107,0.9988461549465473,1.0,0.29642339112539107,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.01,hospital__Address1__EAR__Extraneous__r0.01.csv,143,0.296009584101584,0.9985664345167734,1.0,0.296009584101584,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.015,hospital__Address1__EAR__Extraneous__r0.015.csv,143,0.2959208031668031,0.9984265745102943,1.0,0.2959208031668031,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.02,hospital__Address1__EAR__Extraneous__r0.02.csv,143,0.29582361970361964,0.9984265745102943,1.0,0.29582361970361964,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.025,hospital__Address1__EAR__Extraneous__r0.025.csv,143,0.29564631823431814,0.9983426582563174,1.0,0.29564631823431814,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.03,hospital__Address1__EAR__Extraneous__r0.03.csv,143,0.29565300895300883,0.9982027982498383,1.0,0.29565300895300883,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.035,hospital__Address1__EAR__Extraneous__r0.035.csv,143,0.29558133989933977,0.9981748261651793,1.0,0.29558133989933977,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.04,hospital__Address1__EAR__Extraneous__r0.04.csv,143,0.2956149024829024,0.9981608399144419,1.0,0.2956149024829024,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.045,hospital__Address1__EAR__Extraneous__r0.045.csv,142,0.291073731576647,0.9981478880828535,1.0,0.291073731576647,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,Extraneous,0.05,hospital__Address1__EAR__Extraneous__r0.05.csv,142,0.29097772182041187,0.9981478880828535,1.0,0.29097772182041187,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,MissingValue,0.0,hospital__Address1__EAR__MissingValue__r0.csv,143,0.29642339112539107,0.9988461549465473,1.0,0.29642339112539107,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,MissingValue,0.01,hospital__Address1__EAR__MissingValue__r0.01.csv,143,0.2961031834631834,0.9985664345167734,1.0,0.2961031834631834,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,MissingValue,0.015,hospital__Address1__EAR__MissingValue__r0.015.csv,143,0.2958183959623959,0.9982797203364072,1.0,0.2958183959623959,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,MissingValue,0.02,hospital__Address1__EAR__MissingValue__r0.02.csv,143,0.29561575924175915,0.9980769244940965,1.0,0.29561575924175915,0.0,1.0,1.0,1,1.0
hospital,Address1,EAR,MissingValue,0.025,hospital__Address1__EAR__MissingValue__r0.025.csv,143,0.29575139335139333,0.9982167845005756,1.0,0.29575139335139333,0.0,1.0,1.0,1,1.0
